"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","l"
"11",5,6,2.45454545454545,-1,3,3,2.63636363636364,-4,4,6,9.81818181818182,-2,7,6,8.18181818181818,13,6,4,23.0909090909091,-9,5,4,21.0909090909091,26,3,6,4,7,6,5,14.7272727272727,-66,0,0,11,0,0,0,8,0,0,0,3,0,6,8,0.0261452545454545,-0.0024414,7,3,0.744229363636364,0.021972,5,3,0.528231636363636,-0.015625,5,6,0.795454545454545,0.0625,5,4,3.19886363636364,0.375,2,4,1.35227272727273,0.625,"HandClosing"
"12",5,4,3.36363636363636,-4,3,4,3.36363636363636,5,3,5,10.6363636363636,27,6,5,10.0909090909091,58,7,6,21.2727272727273,9,5,4,21.1818181818182,1,4,6,4.63636363636364,-4,7,6,12.1818181818182,-2,0,0,11,0,0,0,8,0,0,0,3,0,7,5,0.0245916363636364,-0.0102539,7,6,0.746981454545455,0.00390600000000008,6,3,0.527920909090909,0.011231,4,3,1.24431818181818,4.25,5,3,3.35227272727273,-2.9375,3,3,1.24431818181818,0.8125,"HandClosing"
"13",6,7,2.81818181818182,-2,3,5,3.18181818181818,-11,4,4,9.63636363636364,-7,5,6,7.45454545454545,-2,6,7,19.7272727272727,-40,5,4,25.0909090909091,-9,4,6,5.18181818181818,-5,7,7,11.4545454545455,4,0,0,11,0,0,0,8,0,0,0,3,0,7,7,0.0223277909090909,-0.0117187,7,4,0.746537545454545,-0.00292999999999999,5,3,0.528897454545455,-0.015625,4,4,1.39204545454545,1.0625,5,3,3.80113636363636,-2.9375,3,5,1.04545454545455,2.3125,"HandClosing"
"14",5,4,3.90909090909091,-6,3,3,3.54545454545455,-3,4,4,11.3636363636364,9,5,5,9.72727272727273,26,6,6,19.0909090909091,-8,6,5,27,107,4,6,5.18181818181818,1,5,5,16.6363636363636,-40,0,0,11,0,0,0,8,0,0,0,3,0,7,8,0.0202858818181818,-0.0024414,6,5,0.749378454545455,0.018066,7,5,0.525923272727273,-0.0102540000000001,5,6,1.75568181818182,-0.5625,4,2,4.08522727272727,0.5,4,6,0.926136363636364,0.25,"HandClosing"
"15",7,8,3.72727272727273,4,3,4,3.63636363636364,-1,4,4,10.7272727272727,-11,5,5,10.5454545454545,-15,6,6,12.3636363636364,-6,6,6,26.0909090909091,8,4,3,7.18181818181818,29,5,5,16.7272727272727,13,0,0,11,0,0,0,8,0,0,0,3,0,6,7,0.0203746545454545,0.015625,6,7,0.751819909090909,0.018066,7,4,0.524103363636364,-0.012695,6,6,2.09090909090909,2.8125,4,5,4.35227272727273,-2,5,6,0.704545454545455,-0.6875,"HandClosing"
"16",7,8,4.72727272727273,0,4,5,3.81818181818182,6,4,5,11.9090909090909,39,5,5,10.5454545454545,18,4,5,16.2727272727273,78,7,7,30.9090909090909,-21,4,3,7.18181818181818,-6,4,4,15.8181818181818,15,0,0,11,0,0,0,8,0,0,0,3,0,7,7,0.0172230209090909,-0.0107422,6,7,0.753462363636364,-0.01123,7,4,0.52326,-0.010254,6,7,1.95454545454545,2.5625,6,7,4.49431818181818,-0.875,6,7,0.715909090909091,1.3125,"HandClosing"
"17",7,5,5.36363636363636,17,4,5,3.54545454545455,-9,5,5,10.2727272727273,-20,5,6,10.7272727272727,-17,5,6,19.4545454545455,-38,7,6,23.9090909090909,9,4,3,6.63636363636364,11,3,3,18.6363636363636,56,0,0,11,0,0,0,8,0,0,0,3,0,6,6,0.0184215209090909,-0.0039063,5,6,0.755326636363636,0.0107419999999999,8,5,0.522061454545454,-0.011231,6,6,2.1875,-2.375,5,6,4.52272727272727,-0.3125,6,6,0.676136363636364,0.0625,"HandClosing"
"18",7,3,6,11,4,2,3.27272727272727,-2,6,6,10.9090909090909,0,6,6,8.72727272727273,-4,6,6,20,7,6,7,24.2727272727273,-40,3,3,7.54545454545455,14,3,1,23.0909090909091,28,0,0,11,0,0,0,8,0,0,0,3,0,5,6,0.0189098027272727,0.0092773,6,7,0.755415363636364,0.011719,6,5,0.520064,-0.0122070000000001,6,7,1.86363636363636,0.875,6,7,4.47159090909091,1,5,6,0.744318181818182,-0.8125,"HandClosing"
"19",5,4,5.18181818181818,1,4,5,2.18181818181818,5,5,6,10.1818181818182,2,4,5,9,-34,4,5,22.9090909090909,-42,5,6,27.0909090909091,-36,2,4,7.81818181818182,-2,3,3,22.2727272727273,68,0,0,11,0,0,0,8,0,0,1,2.81818181818182,-1,6,6,0.0169566772727273,-0.0058594,5,7,0.754083727272727,-0.02246,7,6,0.519797727272727,-0.00146399999999991,5,6,1.55681818181818,1,6,2,4.21022727272727,0.3125,6,6,0.920454545454545,0.4375,"HandClosing"
"20",4,3,5.63636363636364,-9,4,5,2.63636363636364,5,5,5,8.81818181818182,13,4,5,7.09090909090909,13,4,5,26,43,5,6,28,-54,3,5,10.0909090909091,-31,4,4,18,16,0,0,11,0,0,0,8,0,0,1,2.63636363636364,-1,5,6,0.0176669045454545,-0.0107421,4,6,0.754527636363636,0.00634800000000002,6,6,0.517223181818182,0.0102540000000001,6,7,1.65340909090909,-5,6,1,4.00568181818182,3.75,5,6,0.772727272727273,0.125,"HandClosing"
